Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000000419,DPM1,U2OS,101.1,125.9,97.8
ENSG00000000457,SCYL3,U2OS,3.8,4.8,3.6
ENSG00000000938,FGR,U2OS,0.0,0.0,0.0
ENSG00000001036,FUCA2,U2OS,54.5,67.9,52.1
ENSG00000001084,GCLC,U2OS,31.5,39.2,30.2
ENSG00000001167,NFYA,U2OS,39.0,48.6,37.3
ENSG00000001561,ENPP4,U2OS,6.0,7.5,5.8
ENSG00000001626,CFTR,U2OS,0.1,0.1,0.1
ENSG00000001629,ANKIB1,U2OS,37.9,47.3,36.3
ENSG00000001630,CYP51A1,U2OS,60.8,75.7,58.0
ENSG00000002330,BAD,U2OS,48.5,60.4,46.6
ENSG00000002549,LAP3,U2OS,42.0,52.4,40.6
ENSG00000002587,HS3ST1,U2OS,0.0,0.0,0.0
ENSG00000002746,HECW1,U2OS,0.9,1.2,0.9
ENSG00000003056,M6PR,U2OS,172.5,215.0,165.1
ENSG00000003137,CYP26B1,U2OS,23.0,28.8,22.0
ENSG00000003400,CASP10,U2OS,0.8,1.0,0.7
ENSG00000003436,TFPI,U2OS,22.4,27.9,21.5
ENSG00000003987,MTMR7,U2OS,0.3,0.4,0.3
ENSG00000004059,ARF5,U2OS,83.8,104.5,80.3
ENSG00000004455,AK2,U2OS,182.5,227.4,175.9
ENSG00000004478,FKBP4,U2OS,183.5,228.3,176.4
ENSG00000004487,KDM1A,U2OS,78.4,97.7,74.9
ENSG00000004660,CAMKK1,U2OS,10.6,13.3,10.2
ENSG00000004700,RECQL,U2OS,60.2,74.9,57.7
ENSG00000004779,NDUFAB1,U2OS,108.3,134.9,104.8
ENSG00000004846,ABCB5,U2OS,0.6,0.8,0.6
ENSG00000004848,ARX,U2OS,0.0,0.0,0.0
ENSG00000004864,SLC25A13,U2OS,41.6,51.9,39.9
ENSG00000004939,SLC4A1,U2OS,0.4,0.6,0.4
ENSG00000004948,CALCR,U2OS,0.0,0.0,0.0
ENSG00000004961,HCCS,U2OS,21.7,27.1,20.9
ENSG00000005001,PRSS22,U2OS,0.0,0.0,0.0
ENSG00000005007,UPF1,U2OS,27.4,34.1,26.3
ENSG00000005022,SLC25A5,U2OS,417.1,519.8,400.6
ENSG00000005073,HOXA11,U2OS,9.6,11.9,9.1
ENSG00000005075,POLR2J,U2OS,207.1,258.6,199.0
ENSG00000005102,MEOX1,U2OS,0.7,0.9,0.7
ENSG00000005156,LIG3,U2OS,17.1,21.3,16.3
ENSG00000005187,ACSM3,U2OS,1.1,1.4,1.1
ENSG00000005381,MPO,U2OS,0.0,0.0,0.0
ENSG00000005421,PON1,U2OS,0.0,0.0,0.0
ENSG00000005436,GCFC2,U2OS,11.7,14.6,11.3
ENSG00000005469,CROT,U2OS,10.9,13.6,10.5
ENSG00000005471,ABCB4,U2OS,2.6,3.3,2.5
ENSG00000005483,KMT2E,U2OS,39.8,49.7,38.0
ENSG00000005486,RHBDD2,U2OS,42.9,53.4,40.9
ENSG00000005513,SOX8,U2OS,0.7,0.9,0.7
ENSG00000005810,MYCBP2,U2OS,9.1,11.3,8.8
ENSG00000005844,ITGAL,U2OS,0.0,0.0,0.0
ENSG00000005884,ITGA3,U2OS,153.7,191.4,147.3
ENSG00000005889,ZFX,U2OS,7.3,9.1,7.0
ENSG00000005981,ASB4,U2OS,0.2,0.3,0.2
ENSG00000006007,GDE1,U2OS,19.5,24.3,18.7
ENSG00000006047,YBX2,U2OS,2.5,3.1,2.3
ENSG00000006062,MAP3K14,U2OS,9.6,12.0,9.3
ENSG00000006071,ABCC8,U2OS,0.3,0.4,0.3
ENSG00000006116,CACNG3,U2OS,0.0,0.0,0.0
ENSG00000006194,ZNF263,U2OS,31.2,39.0,30.0
ENSG00000006377,DLX6,U2OS,0.0,0.0,0.0
ENSG00000006451,RALA,U2OS,27.6,34.3,26.5
ENSG00000006468,ETV1,U2OS,2.0,2.4,1.9
ENSG00000006530,AGK,U2OS,14.1,17.6,13.6
ENSG00000006534,ALDH3B1,U2OS,32.2,40.2,30.5
ENSG00000006634,DBF4,U2OS,1.4,1.8,1.4
ENSG00000006638,TBXA2R,U2OS,0.9,1.1,0.8
ENSG00000006695,COX10,U2OS,7.0,8.8,6.7
ENSG00000006744,ELAC2,U2OS,41.4,51.6,39.7
ENSG00000006788,MYH13,U2OS,2.6,3.2,2.5
ENSG00000006837,CDKL3,U2OS,0.5,0.6,0.4
ENSG00000007001,UPP2,U2OS,0.0,0.0,0.0
ENSG00000007038,PRSS21,U2OS,0.1,0.1,0.1
ENSG00000007168,PAFAH1B1,U2OS,13.9,17.4,13.4
ENSG00000007171,NOS2,U2OS,0.4,0.5,0.4
ENSG00000007216,SLC13A2,U2OS,0.0,0.0,0.0
ENSG00000007237,GAS7,U2OS,5.1,6.3,4.8
ENSG00000007264,MATK,U2OS,0.7,0.8,0.6
ENSG00000007350,TKTL1,U2OS,0.0,0.0,0.0
ENSG00000007372,PAX6,U2OS,0.2,0.3,0.2
ENSG00000007376,RPUSD1,U2OS,36.5,45.5,35.2
ENSG00000007384,RHBDF1,U2OS,22.3,27.8,21.3
ENSG00000007402,CACNA2D2,U2OS,2.3,2.8,2.1
ENSG00000007933,FMO3,U2OS,0.0,0.0,0.0
ENSG00000007968,E2F2,U2OS,7.3,9.1,6.9
ENSG00000008056,SYN1,U2OS,0.7,0.9,0.7
ENSG00000008086,CDKL5,U2OS,1.9,2.3,1.8
ENSG00000008118,CAMK1G,U2OS,0.1,0.1,0.1
ENSG00000008128,CDK11A,U2OS,17.9,22.3,17.2
ENSG00000008130,NADK,U2OS,25.2,31.5,24.2
ENSG00000008196,TFAP2B,U2OS,0.0,0.0,0.0
ENSG00000008197,TFAP2D,U2OS,0.0,0.0,0.0
ENSG00000008226,DLEC1,U2OS,0.1,0.1,0.1
ENSG00000008277,ADAM22,U2OS,5.1,6.4,4.8
ENSG00000008382,MPND,U2OS,12.4,15.5,11.8
ENSG00000008394,MGST1,U2OS,24.3,30.2,23.2
ENSG00000008405,CRY1,U2OS,19.0,23.7,18.2
ENSG00000008438,PGLYRP1,U2OS,0.4,0.5,0.4
ENSG00000008441,NFIX,U2OS,21.4,26.6,20.4
ENSG00000008513,ST3GAL1,U2OS,31.4,39.2,30.1
ENSG00000008516,MMP25,U2OS,0.0,0.1,0.0
ENSG00000008710,PKD1,U2OS,11.1,13.9,10.6
ENSG00000008838,MED24,U2OS,26.7,33.3,25.5
ENSG00000008853,RHOBTB2,U2OS,12.5,15.6,12.0
ENSG00000009307,CSDE1,U2OS,593.9,740.8,568.0
ENSG00000009335,UBE3C,U2OS,14.1,17.5,13.6
ENSG00000009413,REV3L,U2OS,9.8,12.2,9.4
ENSG00000009709,PAX7,U2OS,3.1,3.8,2.9
ENSG00000009724,MASP2,U2OS,0.5,0.7,0.5
ENSG00000009830,POMT2,U2OS,20.0,24.9,19.2
ENSG00000009950,MLXIPL,U2OS,0.2,0.2,0.2
ENSG00000009954,BAZ1B,U2OS,65.7,82.0,62.9
ENSG00000010030,ETV7,U2OS,0.9,1.1,0.8
ENSG00000010244,ZNF207,U2OS,141.5,176.3,136.0
ENSG00000010256,UQCRC1,U2OS,165.5,206.4,158.4
ENSG00000010310,GIPR,U2OS,0.9,1.2,0.9
ENSG00000010318,PHF7,U2OS,2.6,3.3,2.5
ENSG00000010322,NISCH,U2OS,39.7,49.5,37.9
ENSG00000010327,STAB1,U2OS,0.0,0.1,0.0
ENSG00000010379,SLC6A13,U2OS,0.4,0.5,0.4
ENSG00000010438,PRSS3,U2OS,0.1,0.1,0.1
ENSG00000010671,BTK,U2OS,0.2,0.2,0.2
ENSG00000010704,HFE,U2OS,1.6,2.0,1.5
ENSG00000010803,SCMH1,U2OS,22.6,28.2,21.6
ENSG00000010818,HIVEP2,U2OS,3.6,4.5,3.5
ENSG00000010932,FMO1,U2OS,0.0,0.0,0.0
ENSG00000011009,LYPLA2,U2OS,65.3,81.4,62.6
ENSG00000011021,CLCN6,U2OS,8.8,11.0,8.4
ENSG00000011028,MRC2,U2OS,83.2,103.7,79.1
ENSG00000011083,SLC6A7,U2OS,0.0,0.0,0.0
ENSG00000011132,APBA3,U2OS,4.8,6.0,4.6
ENSG00000011198,ABHD5,U2OS,10.2,12.7,9.9
ENSG00000011243,AKAP8L,U2OS,13.7,17.0,13.2
ENSG00000011275,RNF216,U2OS,37.9,47.2,36.3
ENSG00000011304,PTBP1,U2OS,264.7,329.9,254.3
ENSG00000011332,DPF1,U2OS,4.1,5.1,3.9
ENSG00000011376,LARS2,U2OS,7.5,9.4,7.3
ENSG00000011478,QPCTL,U2OS,11.6,14.5,11.1
ENSG00000011485,PPP5C,U2OS,68.2,85.1,65.5
ENSG00000011566,MAP4K3,U2OS,17.4,21.7,16.8
ENSG00000011590,ZBTB32,U2OS,0.3,0.3,0.2
ENSG00000011677,GABRA3,U2OS,6.7,8.3,6.4
ENSG00000012048,BRCA1,U2OS,29.3,36.6,28.0
ENSG00000012061,ERCC1,U2OS,76.1,94.7,73.4
ENSG00000012174,MBTPS2,U2OS,5.8,7.2,5.5
ENSG00000012211,PRICKLE3,U2OS,6.6,8.2,6.3
ENSG00000012223,LTF,U2OS,0.2,0.2,0.2
ENSG00000012232,EXTL3,U2OS,67.9,84.7,65.0
ENSG00000012660,ELOVL5,U2OS,100.7,125.4,96.6
ENSG00000012779,ALOX5,U2OS,4.5,5.7,4.3
ENSG00000012822,CALCOCO1,U2OS,14.8,18.5,14.1
ENSG00000012983,MAP4K5,U2OS,31.2,38.8,30.0
ENSG00000013288,MAN2B2,U2OS,9.7,12.2,9.3
ENSG00000013375,PGM3,U2OS,21.7,27.1,20.7
ENSG00000013441,CLK1,U2OS,16.1,20.1,15.5
ENSG00000013503,POLR3B,U2OS,8.7,10.8,8.4
ENSG00000013561,RNF14,U2OS,20.2,25.1,19.4
ENSG00000013563,DNASE1L1,U2OS,22.2,27.7,21.3
ENSG00000013573,DDX11,U2OS,42.9,53.4,41.0
ENSG00000014138,POLA2,U2OS,19.5,24.4,18.8
ENSG00000014216,CAPN1,U2OS,55.7,69.5,53.1
ENSG00000014641,MDH1,U2OS,191.9,238.9,184.1
ENSG00000015153,YAF2,U2OS,11.3,14.1,10.9
ENSG00000015171,ZMYND11,U2OS,16.9,21.1,16.2
ENSG00000015475,BID,U2OS,30.9,38.5,29.8
ENSG00000015532,XYLT2,U2OS,19.0,23.6,18.1
ENSG00000016082,ISL1,U2OS,0.2,0.2,0.2
ENSG00000016391,CHDH,U2OS,1.3,1.6,1.2
ENSG00000016402,IL20RA,U2OS,0.1,0.2,0.1
ENSG00000016864,GLT8D1,U2OS,35.6,44.4,34.0
ENSG00000017260,ATP2C1,U2OS,35.5,44.2,34.0
ENSG00000017427,IGF1,U2OS,0.1,0.1,0.1
ENSG00000017797,RALBP1,U2OS,71.0,88.5,68.1
ENSG00000018236,CNTN1,U2OS,3.5,4.4,3.4
ENSG00000018280,SLC11A1,U2OS,0.1,0.1,0.1
ENSG00000018408,WWTR1,U2OS,17.6,22.0,16.8
ENSG00000018510,AGPS,U2OS,61.6,76.9,59.0
ENSG00000018625,ATP1A2,U2OS,0.2,0.3,0.2
ENSG00000019169,MARCO,U2OS,2.8,3.5,2.7
ENSG00000019186,CYP24A1,U2OS,19.0,23.7,18.1
ENSG00000019485,PRDM11,U2OS,8.4,10.5,8.1
ENSG00000019549,SNAI2,U2OS,5.6,6.9,5.4
ENSG00000019582,CD74,U2OS,5.1,6.3,5.1
ENSG00000019991,HGF,U2OS,0.0,0.1,0.0
ENSG00000019995,ZRANB1,U2OS,9.7,12.1,9.4
ENSG00000020577,SAMD4A,U2OS,33.6,41.7,32.4
ENSG00000020633,RUNX3,U2OS,1.5,1.9,1.4
ENSG00000021355,SERPINB1,U2OS,11.3,14.1,10.8
ENSG00000021488,SLC7A9,U2OS,0.1,0.2,0.1
ENSG00000021574,SPAST,U2OS,14.1,17.5,13.4
ENSG00000021826,CPS1,U2OS,7.1,8.9,6.8
ENSG00000022556,NLRP2,U2OS,0.6,0.7,0.5
ENSG00000022840,RNF10,U2OS,59.5,74.2,57.0
ENSG00000023228,NDUFS1,U2OS,31.3,39.0,30.0
ENSG00000023318,ERP44,U2OS,16.9,21.0,16.2
ENSG00000023330,ALAS1,U2OS,35.5,44.3,34.1
ENSG00000023445,BIRC3,U2OS,2.5,3.1,2.4
ENSG00000023516,AKAP11,U2OS,9.2,11.5,8.8
ENSG00000023572,GLRX2,U2OS,7.5,9.3,7.3
ENSG00000023697,DERA,U2OS,32.2,40.1,30.9
ENSG00000023839,ABCC2,U2OS,0.5,0.7,0.5
ENSG00000023909,GCLM,U2OS,14.6,18.2,14.1
ENSG00000024048,UBR2,U2OS,7.7,9.6,7.4
ENSG00000025039,RRAGD,U2OS,2.1,2.6,2.0
ENSG00000025156,HSF2,U2OS,16.6,20.7,15.9
ENSG00000025293,PHF20,U2OS,9.2,11.4,8.8
ENSG00000025423,HSD17B6,U2OS,0.9,1.1,0.8
ENSG00000025434,NR1H3,U2OS,6.6,8.3,6.3
ENSG00000025708,TYMP,U2OS,5.2,6.5,5.0
ENSG00000025796,SEC63,U2OS,19.2,23.8,18.4
ENSG00000025800,KPNA6,U2OS,22.4,27.9,21.4
ENSG00000026103,FAS,U2OS,7.4,9.2,7.1
ENSG00000026297,RNASET2,U2OS,9.0,11.3,8.7
ENSG00000026559,KCNG1,U2OS,23.6,29.4,22.7
ENSG00000026652,AGPAT4,U2OS,4.0,5.0,3.8
ENSG00000027001,MIPEP,U2OS,6.9,8.6,6.6
ENSG00000027075,PRKCH,U2OS,13.2,16.5,12.7
ENSG00000027644,INSRR,U2OS,0.0,0.1,0.0
ENSG00000027697,IFNGR1,U2OS,30.2,37.7,29.0
ENSG00000027847,B4GALT7,U2OS,21.9,27.3,20.9
ENSG00000028116,VRK2,U2OS,65.2,81.2,62.8
ENSG00000028137,TNFRSF1B,U2OS,0.3,0.4,0.3
ENSG00000028277,POU2F2,U2OS,2.1,2.7,2.1
ENSG00000029363,BCLAF1,U2OS,99.5,124.0,96.0
ENSG00000029559,IBSP,U2OS,0.0,0.0,0.0
ENSG00000030110,BAK1,U2OS,26.8,33.4,25.8
ENSG00000030304,MUSK,U2OS,0.0,0.0,0.0
ENSG00000032219,ARID4A,U2OS,8.9,11.1,8.5
ENSG00000032444,PNPLA6,U2OS,22.8,28.4,21.7
ENSG00000033011,ALG1,U2OS,25.2,31.4,24.2
ENSG00000033050,ABCF2,U2OS,11.6,14.4,11.1
ENSG00000033100,CHPF2,U2OS,4.9,6.1,4.7
ENSG00000033170,FUT8,U2OS,30.4,37.8,29.1
ENSG00000033178,UBA6,U2OS,26.3,32.7,25.1
ENSG00000033327,GAB2,U2OS,4.6,5.7,4.4
ENSG00000033800,PIAS1,U2OS,17.6,21.9,16.9
ENSG00000033867,SLC4A7,U2OS,9.7,12.1,9.2
ENSG00000034677,RNF19A,U2OS,16.7,20.8,16.1
ENSG00000034713,GABARAPL2,U2OS,101.3,126.2,97.5
ENSG00000035403,VCL,U2OS,51.0,63.5,48.9
ENSG00000035664,DAPK2,U2OS,1.5,1.8,1.4
ENSG00000035862,TIMP2,U2OS,154.2,192.3,146.8
ENSG00000035928,RFC1,U2OS,43.7,54.5,42.0
ENSG00000036257,CUL3,U2OS,49.1,61.2,47.3
ENSG00000036473,OTC,U2OS,0.0,0.0,0.0
ENSG00000036530,CYP46A1,U2OS,0.0,0.0,0.0
ENSG00000036672,USP2,U2OS,2.2,2.8,2.1
ENSG00000036828,CASR,U2OS,0.4,0.5,0.3
ENSG00000037280,FLT4,U2OS,7.2,8.9,6.8
ENSG00000037637,FBXO42,U2OS,9.4,11.7,9.0
ENSG00000037897,METTL1,U2OS,17.8,22.2,17.1
ENSG00000037965,HOXC8,U2OS,6.9,8.6,6.7
ENSG00000038002,AGA,U2OS,12.8,15.9,12.2
ENSG00000038210,PI4K2B,U2OS,8.1,10.1,7.8
ENSG00000038274,MAT2B,U2OS,45.5,56.7,43.7
ENSG00000038382,TRIO,U2OS,32.0,39.8,31.0
ENSG00000038945,MSR1,U2OS,1.7,2.1,1.6
ENSG00000039139,DNAH5,U2OS,0.3,0.3,0.2
ENSG00000039600,SOX30,U2OS,0.0,0.0,0.0
ENSG00000039650,PNKP,U2OS,27.8,34.7,26.7
ENSG00000039987,BEST2,U2OS,0.6,0.7,0.5
ENSG00000040199,PHLPP2,U2OS,8.9,11.1,8.5
ENSG00000040531,CTNS,U2OS,12.0,15.0,11.5
ENSG00000040608,RTN4R,U2OS,18.6,23.2,17.7
ENSG00000040633,PHF23,U2OS,46.0,57.3,44.2
ENSG00000040933,INPP4A,U2OS,19.0,23.7,18.2
ENSG00000041880,PARP3,U2OS,10.5,13.1,10.0
ENSG00000041982,TNC,U2OS,78.5,97.9,75.6
ENSG00000042286,AIFM2,U2OS,24.0,29.9,23.0
ENSG00000042429,MED17,U2OS,3.7,4.6,3.5
ENSG00000042832,TG,U2OS,0.1,0.1,0.1
ENSG00000043039,BARX2,U2OS,3.2,4.1,3.1
ENSG00000043093,DCUN1D1,U2OS,19.0,23.7,18.2
ENSG00000043143,JADE2,U2OS,12.9,16.1,12.3
ENSG00000043355,ZIC2,U2OS,0.1,0.1,0.1
ENSG00000043514,TRIT1,U2OS,17.5,21.8,16.9
ENSG00000043591,ADRB1,U2OS,0.1,0.1,0.0
