,project,global_tags,operators,XP,cell_lines,coating,thawing,cell_number,seeding,culture,fixation,mesurement,plate_ref,comments,staining,measurement
0,DM1,[],"{'XP': 'AW', 'staining': ''}",,[],[],[],,[],,[],"DM-SC-C01,DM-SC-C03,DM-SC-C02",[],,[],
1,MFM,[],"{'XP': '', 'staining': ''}",MFM  WT1 D004 D005 CM-HIPSC 8J - Cell Painting 40X,"['D004 001', 'D005 008', 'W001 037', 'EPI N1', 'VB14 PC130 C2']","[{'date': '10/27/2020', 'tag': 'Matrigel 1/60'}]","[{'date': '10/27/2020', 'tag': '1 vial/cell kine'}, {'date': '10/27/2020', 'tag': '1 vial/cell line'}]","3.74 M cells W001 037
3.18 M cells D004 001
2.72 M cells D005 008
1.94 M cells EPI N1
2.4 M cells VB14 PC130 C2","[{'date': '10/27/2020', 'tag': '5k'}]",cell culture during 9 days ,"[{'date': '11/5/2020', 'tag': 'PFA 4%'}]",MFM EPI WT1 VB14 D004 D005 CM-9J - ACTN TNT MITO (DLTS) 20X,['Greiner 781091'],,"[{'date': '11/5/2020', 'primary_anti': 'Troponin-T', 'primary_ref': 'AB45932', 'primary_dil': {'value': '500.00', 'unit': 'nM'}, 'primary_batch': '', 'secondary_anti': 'AF 555', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '11/5/2020', 'primary_anti': 'a-Actinin', 'primary_ref': 'Sigma A7811', 'primary_dil': {'value': '1.50', 'unit': 'µg/ml'}, 'primary_batch': '', 'secondary_anti': 'AF 488', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '11/5/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '2.50', 'unit': 'mM'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '11/5/2020', 'primary_anti': 'Mitotracker deep Red', 'primary_ref': '', 'primary_dil': {'value': '3.00', 'unit': 'µM'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': 'µM'}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '0.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '0.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '500.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '500.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '500.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': ''}, 'secondary_batch': ''}, {'date': '', 'primary_anti': '', 'primary_ref': '', 'primary_dil': {'value': '500.00', 'unit': ''}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': ''}, 'secondary_batch': ''}]",
2,ASD,[],"{'XP': '', 'staining': ''}",,[],[],[],,[],,[],"ASD-20X-160921-Exp36-D6-HT3-DRC-Pl2-HUCD-Ki67-AT,ASD-20X-160921-Exp36-D6-HT3-DRC-Pl1-HUCD-Ki67-AT",[],,[],
3,ASD,[],,,,,,,,,,,,,,
4,ASD,[],,,,,,,,,,,,,,
5,ASD,[],,,,,,,,,,,,,,
6,ASD,[],"{'XP': '', 'staining': ''}",,[],[],[],,[],,[],ASD-10X-220721-Exp33-D6-WT2-HT3-Nuclei-CCU PDL Bravo-AT,[],,[],
7,DCM,[],,,,,,,,,,,,,,
8,PS,[],,,,,,,,,,,,,,
9,PS,[],,,,,,,,,,,,,,
